time,type,mark
6217.228197648756,0,2.0
6226.911493840902,0,4.0
6226.976429717154,1,2.0
6234.025082558566,1,4.0
6235.326911561254,1,3.0
6235.327697979973,0,3.0
6237.428565019267,1,2.0
6237.630022837084,0,1.0
6237.813310738037,1,1.0
6239.91125171638,0,1.0
6246.526379282974,1,3.0
6252.148976197524,0,4.0
6252.932882329512,0,3.0
6259.300973200679,1,4.0
6259.73894707671,0,4.0
6268.535084444413,1,5.0
6271.798665915578,0,5.0
6275.3942508453065,1,2.0
6282.420875029147,1,3.0
6282.432394617863,1,5.0
6283.741303039455,1,1.0
6283.741819747773,0,1.0
6297.409871518189,1,2.0
6312.419343122247,0,5.0
6312.419938331885,1,5.0
6312.4207107301645,0,5.0
6312.42385499656,0,5.0
6312.536392402009,1,2.0
6312.970456946119,0,3.0
6312.972476681967,0,3.0
6320.123632360566,1,4.0
6323.1384368615645,0,1.0
6324.501213486061,0,2.0
6338.503013193734,1,1.0
6344.0981615542405,1,4.0
6350.4478639113395,1,2.0
